"","Finance Code","Sq. Ft.","Sales Price","DOM","Street #","Street Name","Closed Date","address"
"1","Cash Sale",995,34000,27,"4738","LUMLEY",2023-01-01,"4738 LUMLEY"
"2","FHA Sale",1064,89100,21,"16146","BLACKSTONE",2023-01-01,"16146 BLACKSTONE"
"3","Cash Sale",1296,38000,40,"15115","Sussex",2023-01-02,"15115 Sussex"
"4","Cash Sale",916,27750,17,"16485","ROSSINI",2023-01-03,"16485 ROSSINI"
"5","Cash Sale",1660,55000,96,"15521","AUBURN",2023-01-03,"15521 AUBURN"
"6","Cash Sale",1318,60000,63,"16848","FIELDING",2023-01-03,"16848 FIELDING"
"7","CONV Sale",997,64000,36,"20230","ROSELAWN",2023-01-03,"20230 ROSELAWN"
"8","CONV Sale",908,80000,41,"13952","CHATHAM",2023-01-03,"13952 CHATHAM"
"9","Cash Sale",2874,150000,26,"18112","NORTHLAWN",2023-01-03,"18112 NORTHLAWN"
"10","FHA Sale",1095,160000,24,"16598","BILTMORE",2023-01-03,"16598 BILTMORE"
"11","Cash Sale",986,17000,25,"3855","HARDING",2023-01-04,"3855 HARDING"
"12","Cash Sale",1437,27500,18,"14819","PREST",2023-01-04,"14819 PREST"
"13","Cash Sale",922,35000,18,"13754","DWYER",2023-01-04,"13754 DWYER"
"14","Cash Sale",692,45000,23,"7403","ROCKDALE",2023-01-04,"7403 ROCKDALE"
"15","Cash Sale",860,50000,57,"18075","BUFFALO",2023-01-04,"18075 BUFFALO"
"16","Cash Sale",1128,61101,13,"5676","CHRISTIANCY",2023-01-04,"5676 CHRISTIANCY"
"17","Cash Sale",1341,75500,60,"19449","HARTWELL",2023-01-04,"19449 HARTWELL"
"18","CONV Sale",984,88000,79,"19831","SHIAWASSEE",2023-01-04,"19831 SHIAWASSEE"
"19","FHA Sale",952,115000,3,"12662","RIVERDALE",2023-01-04,"12662 RIVERDALE"
"20","CONV Sale",1500,140000,95,"6491","LONDON",2023-01-04,"6491 LONDON"
"21","CONV Sale",1514,145000,28,"11260","LANSDOWNE",2023-01-04,"11260 LANSDOWNE"
"22","FHA Sale",1612,187000,4,"5984","HILLCREST",2023-01-04,"5984 HILLCREST"
"23","CONV Sale",1567,206000,6,"18687","CHERRYLAWN",2023-01-04,"18687 CHERRYLAWN"
"24","CONV Sale",2254,309000,3,"1372","SEWARD",2023-01-04,"1372 SEWARD"
"25","Cash Sale",1486,33000,37,"4497","HARDING",2023-01-05,"4497 HARDING"
"26","Cash Sale",1096,40000,91,"14892","HARTWELL",2023-01-05,"14892 HARTWELL"
"27","Cash Sale",700,45000,23,"11106","NOTTINGHAM",2023-01-05,"11106 NOTTINGHAM"
"28","Cash Sale",1370,50000,170,"19738","WESTPHALIA",2023-01-05,"19738 WESTPHALIA"
"29","Other Sale",756,54500,0,"7807","MEMORIAL",2023-01-05,"7807 MEMORIAL"
"30","Cash Sale",1380,71000,35,"9132","LITTLEFIELD",2023-01-05,"9132 LITTLEFIELD"
"31","Cash Sale",1212,73500,5,"1695","ETHEL",2023-01-05,"1695 ETHEL"
"32","CONV Sale",1054,1e+05,0,"4145","CADIEUX",2023-01-05,"4145 CADIEUX"
"33","FHA Sale",1321,122900,69,"15789","BIRWOOD",2023-01-05,"15789 BIRWOOD"
"34","CONV Sale",2057,155000,22,"2521","EDISON Street",2023-01-05,"2521 EDISON Street"
"35","FHA Sale",2819,389000,16,"474","FISKE",2023-01-05,"474 FISKE"
"36","Cash Sale",860,13905,53,"20403","MONTE VISTA",2023-01-06,"20403 MONTE VISTA"
"37","Cash Sale",1281,25000,37,"14640","CHERRYLAWN",2023-01-06,"14640 CHERRYLAWN"
"38","Cash Sale",1338,32500,142,"15880","MANOR",2023-01-06,"15880 MANOR"
"39","Cash Sale",2626,45000,103,"6187","STANTON",2023-01-06,"6187 STANTON"
"40","Cash Sale",1149,49000,8,"10763","WAYBURN",2023-01-06,"10763 WAYBURN"
