"Finance.Code","Sq..Ft.","Sales.Price","DOM","Street.#","Street.Name","Closed.Date","sale_type","address"
"Cash Sale",995,34000,27,"4738","LUMLEY",44927,"single family","4738 LUMLEY"
"FHA Sale",1064,89100,21,"16146","BLACKSTONE",44927,"single family","16146 BLACKSTONE"
"Cash Sale",1296,38000,40,"15115","Sussex",44928,"single family","15115 Sussex"
"Cash Sale",916,27750,17,"16485","ROSSINI",44929,"single family","16485 ROSSINI"
"Cash Sale",1660,55000,96,"15521","AUBURN",44929,"single family","15521 AUBURN"
"Cash Sale",1318,60000,63,"16848","FIELDING",44929,"single family","16848 FIELDING"
"CONV Sale",997,64000,36,"20230","ROSELAWN",44929,"single family","20230 ROSELAWN"
"CONV Sale",908,80000,41,"13952","CHATHAM",44929,"single family","13952 CHATHAM"
"Cash Sale",2874,150000,26,"18112","NORTHLAWN",44929,"single family","18112 NORTHLAWN"
"FHA Sale",1095,160000,24,"16598","BILTMORE",44929,"single family","16598 BILTMORE"
"Cash Sale",986,17000,25,"3855","HARDING",44930,"single family","3855 HARDING"
"Cash Sale",1437,27500,18,"14819","PREST",44930,"single family","14819 PREST"
"Cash Sale",922,35000,18,"13754","DWYER",44930,"single family","13754 DWYER"
"Cash Sale",692,45000,23,"7403","ROCKDALE",44930,"single family","7403 ROCKDALE"
"Cash Sale",860,50000,57,"18075","BUFFALO",44930,"single family","18075 BUFFALO"
"Cash Sale",1128,61101,13,"5676","CHRISTIANCY",44930,"single family","5676 CHRISTIANCY"
"Cash Sale",1341,75500,60,"19449","HARTWELL",44930,"single family","19449 HARTWELL"
"CONV Sale",984,88000,79,"19831","SHIAWASSEE",44930,"single family","19831 SHIAWASSEE"
"FHA Sale",952,115000,3,"12662","RIVERDALE",44930,"single family","12662 RIVERDALE"
"CONV Sale",1500,140000,95,"6491","LONDON",44930,"single family","6491 LONDON"
"CONV Sale",1514,145000,28,"11260","LANSDOWNE",44930,"single family","11260 LANSDOWNE"
"FHA Sale",1612,187000,4,"5984","HILLCREST",44930,"single family","5984 HILLCREST"
"CONV Sale",1567,206000,6,"18687","CHERRYLAWN",44930,"single family","18687 CHERRYLAWN"
"CONV Sale",2254,309000,3,"1372","SEWARD",44930,"single family","1372 SEWARD"
"Cash Sale",1486,33000,37,"4497","HARDING",44931,"single family","4497 HARDING"
"Cash Sale",1096,40000,91,"14892","HARTWELL",44931,"single family","14892 HARTWELL"
"Cash Sale",700,45000,23,"11106","NOTTINGHAM",44931,"single family","11106 NOTTINGHAM"
"Cash Sale",1370,50000,170,"19738","WESTPHALIA",44931,"single family","19738 WESTPHALIA"
"Other Sale",756,54500,0,"7807","MEMORIAL",44931,"single family","7807 MEMORIAL"
"Cash Sale",1380,71000,35,"9132","LITTLEFIELD",44931,"single family","9132 LITTLEFIELD"
"Cash Sale",1212,73500,5,"1695","ETHEL",44931,"single family","1695 ETHEL"
"CONV Sale",1054,1e+05,0,"4145","CADIEUX",44931,"single family","4145 CADIEUX"
"FHA Sale",1321,122900,69,"15789","BIRWOOD",44931,"single family","15789 BIRWOOD"
"CONV Sale",2057,155000,22,"2521","EDISON Street",44931,"single family","2521 EDISON Street"
"FHA Sale",2819,389000,16,"474","FISKE",44931,"single family","474 FISKE"
"Cash Sale",860,13905,53,"20403","MONTE VISTA",44932,"single family","20403 MONTE VISTA"
"Cash Sale",1281,25000,37,"14640","CHERRYLAWN",44932,"single family","14640 CHERRYLAWN"
"Cash Sale",1338,32500,142,"15880","MANOR",44932,"single family","15880 MANOR"
"Cash Sale",2626,45000,103,"6187","STANTON",44932,"single family","6187 STANTON"
"Cash Sale",1149,49000,8,"10763","WAYBURN",44932,"single family","10763 WAYBURN"
"Contract",900,50000,213,"8026","Brace",44932,"single family","8026 Brace"
